
2024-09-20 14:17:33,415 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:34,410 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:56,906 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:12,836 INFO autoreload /var/app/user/managers.py changed, reloading.
2024-09-20 14:21:13,557 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:13,792 INFO autoreload Watching for file changes with StatReloader
2024-09-20 14:21:14,188 INFO server HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2024-09-20 14:21:14,189 INFO server Configuring endpoint tcp:port=8000:interface=0.0.0.0
2024-09-20 14:21:14,190 INFO server Listening on TCP address 0.0.0.0:8000
2024-09-20 14:21:22,323 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:23,377 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:35,649 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44886]
2024-09-20 14:21:35,651 INFO runserver WebSocket HANDSHAKING /ws/user/connect/ [172.24.0.7:44890]
2024-09-20 14:21:35,652 DEBUG http_protocol Upgraded connection ['172.24.0.7', 44890] to WebSocket
2024-09-20 14:21:35,719 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44906]
2024-09-20 14:21:35,765 DEBUG ws_protocol WebSocket ['172.24.0.7', 44890] open and established
2024-09-20 14:21:35,765 INFO runserver WebSocket CONNECT /ws/user/connect/ [172.24.0.7:44890]
2024-09-20 14:21:35,765 DEBUG ws_protocol WebSocket ['172.24.0.7', 44890] accepted by application
2024-09-20 14:21:35,780 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44918]
2024-09-20 14:21:35,784 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44886]
2024-09-20 14:21:35,785 DEBUG http_protocol HTTP close for ['172.24.0.7', 44886]
2024-09-20 14:21:35,786 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44886]
2024-09-20 14:21:35,787 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.14, 172.24.0.7:44886]
2024-09-20 14:21:35,797 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44932]
2024-09-20 14:21:35,808 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44906]
2024-09-20 14:21:35,813 DEBUG http_protocol HTTP close for ['172.24.0.7', 44906]
2024-09-20 14:21:35,814 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44906]
2024-09-20 14:21:35,814 INFO runserver HTTP GET /api/v1/notifications/ 200 [0.10, 172.24.0.7:44906]
2024-09-20 14:21:35,826 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44918]
2024-09-20 14:21:35,827 DEBUG http_protocol HTTP close for ['172.24.0.7', 44918]
2024-09-20 14:21:35,827 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44918]
2024-09-20 14:21:35,827 INFO runserver HTTP GET /api/v1/game/ongoing-tournaments/ 200 [0.05, 172.24.0.7:44918]
2024-09-20 14:21:35,862 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44932]
2024-09-20 14:21:35,863 DEBUG http_protocol HTTP close for ['172.24.0.7', 44932]
2024-09-20 14:21:35,864 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44932]
2024-09-20 14:21:35,867 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.07, 172.24.0.7:44932]
2024-09-20 14:21:36,018 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44944]
2024-09-20 14:21:36,070 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44944]
2024-09-20 14:21:36,070 DEBUG http_protocol HTTP close for ['172.24.0.7', 44944]
2024-09-20 14:21:36,070 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44944]
2024-09-20 14:21:36,071 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.05, 172.24.0.7:44944]
2024-09-20 14:21:36,124 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44946]
2024-09-20 14:21:36,151 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 44946]
2024-09-20 14:21:36,151 DEBUG http_protocol HTTP close for ['172.24.0.7', 44946]
2024-09-20 14:21:36,151 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 44946]
2024-09-20 14:21:36,151 INFO runserver HTTP GET /api/v1/chat/rooms/ 200 [0.03, 172.24.0.7:44946]
2024-09-20 14:21:36,180 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44956]
2024-09-20 14:21:36,189 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44960]
2024-09-20 14:21:36,196 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44966]
2024-09-20 14:21:36,200 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 44972]
